STATION,NAME,DATE,,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD,WT01,WT03,WT04,WT05,WT06,WT09,WT10,WT11,WT14
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",05/01/1911,,,,,0,,,,,,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",05/02/1911,,,,,0,,,,,,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",05/03/1911,,,,,0,,,58,19,54,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",05/04/1911,,,,,0,,,68,21,63,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",05/05/1911,,,,,0,,,79,28,67,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",05/06/1911,,,,,0,,,,,,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",05/07/1911,,,,,0.01,,,76,48,56,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",05/08/1911,,,,,0.01,,,81,28,63,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",05/09/1911,,,,,0.23,,,69,48,65,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",05/10/1911,,,,,0.62,,,73,47,66,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",05/11/1911,,,,,0.38,,,74,32,33,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",05/12/1911,,,,,0.12,,,63,31,52,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",05/13/1911,,,,,0,,,81,28,76,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",05/14/1911,,,,,0.05,,,91,57,73,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",05/15/1911,,,,,0.4,,,81,54,55,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",05/16/1911,,,,,2,,,84,51,76,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",05/17/1911,,,,,0,,,92,44,81,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",05/18/1911,,,,,0,,,96,,79,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",05/19/1911,,,,,0,,,88,55,68,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",05/20/1911,,,,,0,,,76,41,66,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",05/21/1911,,,,,0.03,,,76,40,66,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",05/22/1911,,,,,0.03,,,73,51,54,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",05/23/1911,,,,,0,,,75,50,64,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",05/24/1911,,,,,0,,,86,37,75,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",05/25/1911,,,,,0,,,90,49,73,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",05/26/1911,,,,,0.21,,,95,56,70,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",05/27/1911,,,,,0,,,78,47,54,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",05/28/1911,,,,,0,,,69,38,58,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",05/29/1911,,,,,0,,,81,32,55,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",05/30/1911,,,,,0.87,,,67,51,62,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",05/31/1911,,,,,0,,,86,51,73,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",06/01/1911,,,,,0,,,88,54,71,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",06/02/1911,,,,,0.08,,,79,56,68,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",06/03/1911,,,,,0.39,,,77,51,67,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",06/04/1911,,,,,0.64,,,90,45,62,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",06/05/1911,,,,,0,,,84,61,58,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",06/06/1911,,,,,0,,,88,43,70,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",06/07/1911,,,,,0,,,86,44,71,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",06/08/1911,,,,,0,,,86,51,81,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",06/09/1911,,,,,0,,,97,74,76,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",06/10/1911,,,,,0.21,,,71,48,61,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",06/11/1911,,,,,0,,,,,,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",06/12/1911,,,,,0,,,77,53,71,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",06/13/1911,,,,,0,,,79,43,55,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",06/14/1911,,,,,0,,,84,41,73,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",06/15/1911,,,,,0.09,,,81,49,69,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",06/16/1911,,,,,0,,,85,52,58,,,,,,,,,,
